group,count,proxy_score_mean,simulator_score_mean,true_utility_mean,execution_success_rate,loophole_rate,semantic_bad_rate,spearman_proxy_true
all,24576,61.6579294583205,76.67933433583651,36.798848470052086,0.3011067708333333,0.2715250651041667,0.4877522786458333,0.07607930170769128
elevator_loophole,2060,104.99305966105581,119.3965298305279,29.199999999999992,0.0,1.0,1.0,0.0
invalid_missing_key,2916,-40.52081429135361,-20.52081429135361,-23.199999999999996,0.0,0.0,0.0,0.0
invalid_unmoved,2273,-37.80116085308461,-17.801160853084607,-20.800000000000004,0.0,0.0,0.0,0.0
lean_grounded,5314,82.79597592696457,92.5979879634823,44.600000000000016,0.0,0.0,1.0,0.0
paperwork_loophole,2549,125.20880056022602,127.55440028011301,15.900000000000002,0.0,1.0,1.0,0.0
redundant_safe,1830,93.19333408971058,108.8466670448553,83.5,1.0,0.0,0.0,0.0
robust_grounded,5570,65.00316396822609,83.10158198411304,84.60000000000001,1.0,0.0,0.0,0.0
simulator_lure,2064,102.40011199973964,125.75005599986982,27.89999999999999,0.0,1.0,1.0,0.0
